Rainfall,River,Label
0,4.101071,0
0,2.347419,0
33.1,3.336,0
95.4,2.297742,0
45.2,3.593333,0
68.9,37.8171,1
90.4,22.36774,1
89.1,28.26333,1
478.5,7.589032,1
158.2,2.917667,0
258.5,2.738333,0
8.2,2.1357,0
0,2.347419,0
102,6.1,1
